cik,name,valid_from,valid_to
719739,SILICON VALLEY BANCSHARES,1995-04-13,2005-05-24
719739,SVB FINANCIAL GROUP,,
1310067,SEARS HOLDINGS CORP,,
886158,BED BATH & BEYOND INC,1995-03-08,2023-09-20
886158,"20230930-DK-Butterfly-1, Inc.",,
1130713,"BED BATH & BEYOND, INC.",2025-09-17,2026-08-13
1130713,"BEYOND, INC.",2023-09-19,2025-08-22
1130713,"OVERSTOCK.COM, INC",2006-02-07,2023-11-03
1130713,OVERSTOCK COM INC,2002-04-05,2006-02-02
1130713,"NEIGHBORHOOD INTELLIGENCE, INC.",,
1418091,Twitter Inc,2007-11-30,2010-01-08
1418091,"TWITTER, INC.",,
1652044,Alphabet Inc.,,
1288776,GOOGLE INC.,,
1451512,Terra Tech Corp.,2012-02-10,2021-07-08
1451512,"PRIVATE SECRETARY, INC.",2008-12-23,2012-02-09
1451512,"Unrivaled Brands, Inc.",,
1326801,Facebook Inc,2005-05-06,2021-10-27
1326801,"Meta Platforms, Inc.",,
1321655,Palantir Technologies Inc,2005-03-22,2011-09-07
1321655,Palantir Technologies Inc.,,
1679788,"Coinbase Global, Inc.",,
1874178,"Rivian Automotive, Inc. / DE",,
1318605,TESLA MOTORS INC,2005-02-17,2017-01-27
1318605,"Tesla, Inc.",,
1067983,NBH INC,1998-08-10,1999-01-05
1067983,BERKSHIRE HATHAWAY INC,,
320193,APPLE INC,2007-01-10,2019-08-05
320193,APPLE COMPUTER INC,1994-01-26,2007-01-04
320193,APPLE COMPUTER INC/ FA,1997-07-28,1997-07-28
320193,Apple Inc.,,
789019,MICROSOFT CORP,,
1045810,NVIDIA CORP/CA,1998-05-07,2002-06-04
1045810,NVIDIA CORP,,
19617,JPMORGAN CHASE & CO,2009-02-02,2026-09-04
19617,J P MORGAN CHASE & CO,2001-02-08,2011-10-06
19617,CHASE MANHATTAN CORP /DE/,1996-10-17,2000-11-21
19617,CHEMICAL BANKING CORP,1994-02-02,1996-03-28
19617,JPMORGAN CHASE & CO,,
