cik,event_type,event_date,form,adsh
719739,DEREGISTRATION,2025-01-24,15-12G,0001193125-25-012292
719739,DELISTING_NOTICE,2023-05-02,25-NSE,0001354457-23-000327
719739,PERIODIC_REPORT,2023-02-24,10-K,0000719739-23-000021
719739,PERIODIC_REPORT,2022-11-07,10-Q,0000719739-22-000081
719739,PERIODIC_REPORT,2022-08-08,10-Q,0000719739-22-000055
719739,PERIODIC_REPORT,2022-05-06,10-Q,0000719739-22-000040
719739,PERIODIC_REPORT,2022-03-01,10-K,0000719739-22-000023
719739,PERIODIC_REPORT,2021-11-08,10-Q,0000719739-21-000071
719739,PERIODIC_REPORT,2021-08-06,10-Q,0000719739-21-000060
719739,PERIODIC_REPORT,2021-05-10,10-Q,0000719739-21-000036
719739,PERIODIC_REPORT,2021-03-01,10-K,0000719739-21-000023
719739,PERIODIC_REPORT,2020-11-05,10-Q,0000719739-20-000074
719739,PERIODIC_REPORT,2020-08-07,10-Q,0000719739-20-000055
719739,PERIODIC_REPORT,2020-05-11,10-Q,0000719739-20-000036
719739,PERIODIC_REPORT,2020-02-28,10-K,0000719739-20-000016
719739,LISTING_REGISTRATION,2019-12-06,8-A12B,0001193125-19-308331
719739,PERIODIC_REPORT,2019-11-12,10-Q,0000719739-19-000075
719739,PERIODIC_REPORT,2019-08-09,10-Q,0000719739-19-000052
719739,PERIODIC_REPORT,2019-05-09,10-Q,0000719739-19-000034
719739,PERIODIC_REPORT,2019-02-28,10-K,0000719739-19-000018
719739,PERIODIC_REPORT,2018-11-09,10-Q,0000719739-18-000049
719739,PERIODIC_REPORT,2018-08-07,10-Q,0000719739-18-000038
719739,PERIODIC_REPORT,2018-05-08,10-Q,0000719739-18-000024
719739,PERIODIC_REPORT,2018-02-28,10-K,0000719739-18-000011
719739,DEREGISTRATION,2018-01-10,15-12G,0001193125-18-008216
719739,DELISTING_NOTICE,2017-12-22,25-NSE/A,0001354457-17-000264
719739,DELISTING_NOTICE,2017-12-22,25-NSE,0001354457-17-000263
719739,PERIODIC_REPORT,2017-11-08,10-Q,0000719739-17-000062
719739,PERIODIC_REPORT,2017-08-07,10-Q,0000719739-17-000049
719739,PERIODIC_REPORT,2017-05-10,10-Q,0000719739-17-000021
719739,PERIODIC_REPORT,2017-02-28,10-K,0000719739-17-000012
719739,PERIODIC_REPORT,2016-11-08,10-Q,0000719739-16-000114
719739,PERIODIC_REPORT,2016-08-08,10-Q,0000719739-16-000095
719739,PERIODIC_REPORT,2016-05-10,10-Q,0000719739-16-000085
719739,PERIODIC_REPORT,2016-02-26,10-K,0000719739-16-000073
719739,PERIODIC_REPORT,2015-11-06,10-Q,0000719739-15-000059
719739,PERIODIC_REPORT,2015-08-07,10-Q,0000719739-15-000048
719739,PERIODIC_REPORT,2015-05-11,10-Q,0000719739-15-000034
719739,PERIODIC_REPORT,2015-02-26,10-K,0000719739-15-000022
719739,PERIODIC_REPORT,2014-11-07,10-Q,0000719739-14-000044
719739,PERIODIC_REPORT,2014-08-08,10-Q,0000719739-14-000034
719739,IPO_PRICING,2014-05-14,424B4,0001193125-14-197961
719739,PERIODIC_REPORT,2014-05-09,10-Q,0000719739-14-000021
719739,PERIODIC_REPORT,2014-02-27,10-K,0000719739-14-000012
719739,PERIODIC_REPORT,2013-11-08,10-Q,0000719739-13-000054
719739,PERIODIC_REPORT,2013-08-08,10-Q,0000719739-13-000040
719739,PERIODIC_REPORT,2013-05-10,10-Q,0000719739-13-000019
719739,PERIODIC_REPORT,2013-02-27,10-K,0000719739-13-000009
719739,PERIODIC_REPORT,2012-11-09,10-Q,0000719739-12-000011
719739,PERIODIC_REPORT,2012-08-08,10-Q,0001193125-12-344003
719739,PERIODIC_REPORT,2012-05-10,10-Q,0001193125-12-225234
719739,PERIODIC_REPORT,2012-02-28,10-K,0001193125-12-085818
719739,PERIODIC_REPORT,2011-11-04,10-Q,0001193125-11-297377
719739,PERIODIC_REPORT,2011-08-05,10-Q,0001193125-11-212416
719739,PERIODIC_REPORT,2011-05-06,10-Q,0001193125-11-130721
719739,PERIODIC_REPORT,2011-02-25,10-K,0001193125-11-047635
719739,PERIODIC_REPORT,2010-11-05,10-Q,0001193125-10-250157
719739,PERIODIC_REPORT,2010-08-06,10-Q,0001193125-10-181548
719739,PERIODIC_REPORT,2010-05-07,10-Q,0001193125-10-112861
719739,PERIODIC_REPORT,2010-03-01,10-K,0001193125-10-044799
719739,LISTING_REGISTRATION,2010-01-19,8-A12G/A,0001193125-10-008129
719739,PERIODIC_REPORT,2009-11-06,10-Q,0001193125-09-227746
719739,PERIODIC_REPORT,2009-08-07,10-Q,0001193125-09-169253
719739,PERIODIC_REPORT,2009-05-08,10-Q,0001193125-09-105436
719739,PERIODIC_REPORT,2009-03-02,10-K,0001193125-09-042756
719739,PERIODIC_REPORT,2008-11-10,10-Q,0001193125-08-231745
719739,PERIODIC_REPORT,2008-08-07,10-Q,0001193125-08-170171
719739,PERIODIC_REPORT,2008-05-09,10-Q,0001193125-08-109999
719739,LISTING_REGISTRATION,2008-04-30,8-A12G/A,0001193125-08-097227
719739,PERIODIC_REPORT,2008-02-29,10-K,0001193125-08-043869
719739,LISTING_REGISTRATION,2008-01-29,8-A12G/A,0001193125-08-014458
719739,PERIODIC_REPORT,2007-11-09,10-Q,0001193125-07-242426
719739,PERIODIC_REPORT,2007-08-09,10-Q,0001193125-07-177464
719739,PERIODIC_REPORT,2007-05-10,10-Q,0001104659-07-038279
719739,PERIODIC_REPORT,2007-03-01,10-K,0001104659-07-015557
719739,PERIODIC_REPORT,2006-11-09,10-Q,0001104659-06-073678
719739,PERIODIC_REPORT,2006-08-09,10-Q,0001104659-06-053227
719739,PERIODIC_REPORT,2006-05-10,10-Q,0001104659-06-033375
719739,PERIODIC_REPORT,2006-03-27,10-K,0001104659-06-019224
719739,PERIODIC_REPORT,2005-12-30,10-Q,0001104659-05-063169
719739,PERIODIC_REPORT,2005-12-30,10-Q,0001104659-05-063168
719739,PERIODIC_REPORT,2005-12-30,10-Q/A,0001104659-05-063167
719739,PERIODIC_REPORT,2005-12-30,10-K/A,0001104659-05-063164
719739,PERIODIC_REPORT,2005-05-10,10-Q,0001104659-05-022061
719739,PERIODIC_REPORT,2005-03-16,10-K,0001104659-05-011395
719739,PERIODIC_REPORT,2004-11-09,10-Q,0001104659-04-034798
719739,PERIODIC_REPORT,2004-08-09,10-Q,0001047469-04-025818
719739,LISTING_REGISTRATION,2004-08-03,8-A12G/A,0001047469-04-025093
719739,PERIODIC_REPORT,2004-05-07,10-Q,0001104659-04-013238
719739,PERIODIC_REPORT,2004-03-11,10-K,0001104659-04-007053
719739,LISTING_REGISTRATION,2004-02-27,8-A12G/A,0001047469-04-005929
719739,PERIODIC_REPORT,2003-11-14,10-Q,0001104659-03-026710
719739,LISTING_REGISTRATION,2003-11-14,8-A12G/A,0001047469-03-037426
719739,IPO_PRICING,2003-10-24,424B4,0001047469-03-034279
719739,LISTING_REGISTRATION,2003-10-21,8-A12G,0001047469-03-033804
719739,PERIODIC_REPORT,2003-09-25,10-Q/A,0001104659-03-021569
719739,PERIODIC_REPORT,2003-09-25,10-Q/A,0001104659-03-021568
719739,PERIODIC_REPORT,2003-08-14,10-Q,0001104659-03-018768
719739,PERIODIC_REPORT,2003-05-13,10-Q,0001104659-03-009338
719739,PERIODIC_REPORT,2003-03-05,10-K,0001047469-03-007766
719739,PERIODIC_REPORT,2002-11-14,10-Q,0001104659-02-005955
719739,PERIODIC_REPORT,2002-08-13,10-Q,0001104659-02-003752
719739,PERIODIC_REPORT,2002-05-13,10-Q,0001104659-02-002126
719739,PERIODIC_REPORT,2002-03-19,10-K,0000912057-02-010546
719739,PERIODIC_REPORT,2001-11-14,10-Q,0001104659-01-503220
719739,PERIODIC_REPORT,2001-08-14,10-Q,0001104659-01-501929
719739,PERIODIC_REPORT,2001-05-15,10-Q,0001104659-01-500837
719739,PERIODIC_REPORT,2001-03-16,10-K,0000912057-01-504039
719739,PERIODIC_REPORT,2000-11-14,10-Q,0000912057-00-049904
719739,PERIODIC_REPORT,2000-08-14,10-Q,0000912057-00-037307
719739,IPO_PRICING,2000-08-02,424B4,0000912057-00-034263
719739,PERIODIC_REPORT,2000-05-12,10-Q,0000912057-00-023874
719739,PERIODIC_REPORT,2000-03-17,10-K,0000912057-00-012198
719739,IPO_PRICING,1999-12-14,424B4,0000912057-99-009330
719739,PERIODIC_REPORT,1999-11-15,10-Q,0000912057-99-006015
719739,PERIODIC_REPORT,1999-08-11,10-Q,0001047469-99-030980
719739,PERIODIC_REPORT,1999-05-14,10-Q,0001047469-99-020447
719739,PERIODIC_REPORT,1999-03-19,10-K,0001047469-99-010533
719739,PERIODIC_REPORT,1998-11-13,10-Q,0001047469-98-040795
719739,LISTING_REGISTRATION,1998-10-27,8-A12G,0001047469-98-038191
719739,PERIODIC_REPORT,1998-08-13,10-Q,0001047469-98-031098
719739,IPO_PRICING,1998-05-20,424B4,0001047469-98-021384
719739,LISTING_REGISTRATION,1998-05-12,8-A12G,0001047469-98-019461
719739,PERIODIC_REPORT,1998-04-30,10-Q,0001047469-98-018394
719739,PERIODIC_REPORT,1998-03-13,10-K,0001047469-98-009785
719739,PERIODIC_REPORT,1997-11-13,10-Q,0001047469-97-004280
719739,PERIODIC_REPORT,1997-08-13,10-Q,0000912057-97-027505
719739,PERIODIC_REPORT,1997-05-14,10-Q,0000912057-97-017644
719739,PERIODIC_REPORT,1997-03-20,10-K,0000912057-97-009519
719739,PERIODIC_REPORT,1996-11-13,10-Q,0001012870-96-000641
719739,PERIODIC_REPORT,1996-08-13,10-Q,0001012870-96-000254
719739,PERIODIC_REPORT,1996-05-15,10-Q,0000898430-96-002049
719739,PERIODIC_REPORT,1996-03-11,10-K,0000912057-96-004310
719739,PERIODIC_REPORT,1995-11-14,10-Q,0000912057-95-009851
719739,PERIODIC_REPORT,1995-08-14,10-Q,0000912057-95-006444
719739,PERIODIC_REPORT,1995-05-15,10-Q,0000912057-95-003836
719739,FIRST_EDGAR_FILING,1995-02-14,,
1310067,DEREGISTRATION,2019-04-18,15-15D,0001193125-19-111058
1310067,DEREGISTRATION,2019-04-18,15-15D,0001193125-19-111056
1310067,PERIODIC_REPORT,2018-12-13,10-Q,0001310067-18-000029
1310067,DELISTING_NOTICE,2018-11-15,25-NSE,0001354457-18-000476
1310067,PERIODIC_REPORT,2018-09-13,10-Q,0001310067-18-000021
1310067,PERIODIC_REPORT,2018-05-31,10-Q,0001310067-18-000014
1310067,PERIODIC_REPORT,2018-03-23,10-K,0001310067-18-000006
1310067,PERIODIC_REPORT,2017-11-30,10-Q,0001310067-17-000028
1310067,PERIODIC_REPORT,2017-08-24,10-Q,0001310067-17-000021
1310067,PERIODIC_REPORT,2017-05-25,10-Q,0001310067-17-000013
1310067,PERIODIC_REPORT,2017-03-21,10-K,0001310067-17-000005
1310067,DEREGISTRATION,2017-01-27,15-12B,0001193125-17-022112
1310067,DEREGISTRATION,2017-01-27,15-12G,0001193125-17-022107
1310067,DEREGISTRATION,2017-01-27,15-12B,0001193125-17-022101
1310067,DEREGISTRATION,2017-01-27,15-12G,0001193125-17-022093
1310067,PERIODIC_REPORT,2016-12-08,10-Q,0001310067-16-000088
1310067,PERIODIC_REPORT,2016-08-25,10-Q,0001310067-16-000080
1310067,PERIODIC_REPORT,2016-05-26,10-Q/A,0001310067-16-000069
1310067,PERIODIC_REPORT,2016-05-26,10-Q,0001310067-16-000068
1310067,PERIODIC_REPORT,2016-03-16,10-K,0001310067-16-000059
1310067,PERIODIC_REPORT,2015-12-03,10-Q,0001310067-15-000048
1310067,PERIODIC_REPORT,2015-08-20,10-Q,0001310067-15-000038
1310067,PERIODIC_REPORT,2015-06-08,10-Q,0001310067-15-000018
1310067,PERIODIC_REPORT,2015-03-17,10-K,0001310067-15-000009
1310067,DEREGISTRATION,2014-12-10,15-12B,0001193125-14-439010
1310067,PERIODIC_REPORT,2014-12-04,10-Q,0001310067-14-000043
1310067,DELISTING_NOTICE,2014-11-13,25-NSE,0001354457-14-000192
1310067,DELISTING_NOTICE,2014-11-04,25-NSE,0001354457-14-000189
1310067,LISTING_REGISTRATION,2014-10-30,8-A12B,0001193125-14-388210
1310067,LISTING_REGISTRATION,2014-10-15,8-A12B,0001047469-14-008321
1310067,PERIODIC_REPORT,2014-08-21,10-Q,0001310067-14-000029
1310067,PERIODIC_REPORT,2014-05-22,10-Q,0001310067-14-000017
1310067,PERIODIC_REPORT,2014-03-18,10-K,0001310067-14-000007
1310067,PERIODIC_REPORT,2013-11-21,10-Q,0001310067-13-000044
1310067,PERIODIC_REPORT,2013-08-22,10-Q,0001310067-13-000035
1310067,PERIODIC_REPORT,2013-05-24,10-Q,0001310067-13-000021
1310067,PERIODIC_REPORT,2013-03-20,10-K,0001310067-13-000013
1310067,DEREGISTRATION,2013-01-25,15-12G,0001193125-13-024281
1310067,PERIODIC_REPORT,2012-11-16,10-Q,0001445305-12-003689
1310067,PERIODIC_REPORT,2012-08-16,10-Q,0001193125-12-358165
1310067,PERIODIC_REPORT,2012-05-17,10-Q,0001193125-12-238344
1310067,PERIODIC_REPORT,2012-03-14,10-K,0001193125-12-114869
1310067,PERIODIC_REPORT,2011-11-18,10-Q/A,0001193125-11-316529
1310067,PERIODIC_REPORT,2011-11-17,10-Q,0001193125-11-314963
1310067,PERIODIC_REPORT,2011-08-18,10-Q,0001193125-11-226650
1310067,PERIODIC_REPORT,2011-05-19,10-Q,0001193125-11-144672
1310067,PERIODIC_REPORT,2011-03-11,10-K,0001193125-11-062911
1310067,PERIODIC_REPORT,2010-11-18,10-Q,0001193125-10-263486
1310067,PERIODIC_REPORT,2010-08-20,10-Q,0001193125-10-193532
1310067,PERIODIC_REPORT,2010-05-21,10-Q,0001193125-10-125329
1310067,PERIODIC_REPORT,2010-03-12,10-K,0001193125-10-055594
1310067,PERIODIC_REPORT,2009-11-20,10-Q,0001193125-09-238578
1310067,PERIODIC_REPORT,2009-08-25,10-Q,0001193125-09-180513
1310067,PERIODIC_REPORT,2009-05-28,10-Q,0001193125-09-119756
1310067,PERIODIC_REPORT,2009-03-17,10-K,0001193125-09-055685
1310067,DEREGISTRATION,2009-01-30,15-12G,0001193125-09-015464
1310067,PERIODIC_REPORT,2008-12-02,10-Q,0001193125-08-246175
1310067,PERIODIC_REPORT,2008-08-29,10-Q,0001193125-08-187101
1310067,PERIODIC_REPORT,2008-05-30,10-Q,0001193125-08-125083
1310067,PERIODIC_REPORT,2008-03-26,10-K,0001193125-08-065062
1310067,PERIODIC_REPORT,2007-11-30,10-Q,0001193125-07-256544
1310067,PERIODIC_REPORT,2007-08-30,10-Q,0001193125-07-192375
1310067,PERIODIC_REPORT,2007-06-01,10-Q,0001193125-07-127254
1310067,PERIODIC_REPORT,2007-03-28,10-K,0001193125-07-066067
1310067,PERIODIC_REPORT,2006-12-05,10-Q,0001193125-06-247053
1310067,PERIODIC_REPORT,2006-09-01,10-Q,0001193125-06-184494
1310067,PERIODIC_REPORT,2006-06-08,10-Q,0000950137-06-006644
1310067,PERIODIC_REPORT,2006-03-17,10-K/A,0001047469-06-003605
1310067,PERIODIC_REPORT,2006-03-15,10-K,0001047469-06-003414
1310067,PERIODIC_REPORT,2005-12-06,10-Q,0000950134-05-022644
1310067,PERIODIC_REPORT,2005-09-08,10-Q,0000950137-05-011087
1310067,PERIODIC_REPORT,2005-06-07,10-Q,0000950134-05-011459
